cve_id,,Ecysystem,vuln_link,
CVE-2018-3824,org.elasticsearch:elasticsearch,Java,https://github.com/advisories/GHSA-mjpc-qx7h-r8c9,Merged
CVE-2018-1256,"
 io.pivotal.spring.cloud:spring-cloud-sso-connector",Java,https://github.com/advisories/GHSA-q4q2-93pw-qwgf,Merged
CVE-2017-7662,org.apache.cxf.fediz:fediz-oidc,Java,https://github.com/advisories/GHSA-f5ch-36rg-vfcc,Merged
CVE-2017-1000406,org.opendaylight.integration:distribution-karaf,Java,https://github.com/advisories/GHSA-4px2-gqhv-mrc7,Merged
CVE-2020-8920,com.google.gerrit:gerrit-plugin-api,Java,https://github.com/advisories/GHSA-g5q2-cxgq-h2rw,Merged
CVE-2018-1229,org.springframework.batch:spring-batch-admin-manager,Java,https://github.com/advisories/GHSA-4cj8-779h-r25h,Merged
CVE-2014-0095,org.apache.tomcat.embed:tomcat-embed-core,Java,https://github.com/advisories/GHSA-wf5v-jhxj-q632,Merged
CVE-2014-0095,org.apache.tomcat:tomcat-coyote,Java,https://github.com/advisories/GHSA-wf5v-jhxj-q632,Merged
CVE-2010-5327,com.liferay.portal:portal-impl,Java,https://github.com/advisories/GHSA-97gm-mcv6-cphm,Merged
CVE-2010-5327,com.liferay.portal:portal-service,Java,https://github.com/advisories/GHSA-97gm-mcv6-cphm,Merged
CVE-2013-1814,org.apache.rave:rave-core,Java,https://github.com/advisories/GHSA-428j-q447-47rw,Merged
CVE-2013-1814,org.apache.rave:rave-portal-resources,Java,https://github.com/advisories/GHSA-428j-q447-47rw,Merged
CVE-2013-1814,org.apache.rave:rave-web,Java,https://github.com/advisories/GHSA-428j-q447-47rw,Merged
CVE-2014-9515,com.github.dozermapper:dozer-parent,Java,https://github.com/advisories/GHSA-q79q-94j7-5mgg,Non-Vuln
CVE-2022-25517,com.baomidou:mybatis-plus,Java,https://github.com/advisories/GHSA-4m48-j3xj-px27,Non-Vuln
CVE-2015-3158,org.picketlink:picketlink-bindings-parent,Java,https://github.com/advisories/GHSA-9qhq-j4xm-cw48,Incorrect
CVE-2014-1202,com.smartbear.soapui:soapui,Java,https://github.com/advisories/GHSA-c2fp-mpmm-cqxv,Merged
CVE-2019-10475,org.jenkins-ci.plugins:build-metrics,Java,https://github.com/advisories/GHSA-f8w9-66fp-3jgw,Merged
CVE-2018-1000191,com.synopsys.integration:synopsys-detect,Java,https://github.com/advisories/GHSA-6w3h-vq7m-v3qf,Merged
CVE-2018-1000057,org.jenkins-ci.plugins:credentials-binding,Java,https://github.com/advisories/GHSA-38xm-xhvj-q2qf,Merged
CVE-2018-5653,wordpress/weblizar-pinterest-feeds,Java,https://github.com/advisories/GHSA-j3r9-f742-jp74,Incorrect
CVE-2017-3202,com.exadel.flamingo.flex:amf-serializer,Java,https://github.com/advisories/GHSA-j88v-q3vw-p9vr,Merged
CVE-2019-5312,com.github.binarywang:weixin-java-common,Java,https://github.com/advisories/GHSA-h755-h99p-9ffv,Merged
CVE-2017-1000397,org.jenkins-ci.main:maven-plugin,Java,https://github.com/advisories/GHSA-qhxw-54m9-6wwc,Merged
CVE-2012-3428,org.jboss.ironjacamar:ironjacamar-jdbc,Java,https://github.com/advisories/GHSA-ppg2-ww3w-hq84,Merged
CVE-2021-35958,tensorflow,Python,https://github.com/advisories/GHSA-4cm9-63x5-55wm,Non-Vuln
CVE-2008-0252,CherryPy,Python,https://github.com/advisories/GHSA-76x8-gg39-5jjg,Merged
CVE-2008-1474,roundup,Python,https://github.com/advisories/GHSA-c3qv-mf8h-434r,Merged
CVE-2008-1475,roundup,Python,https://github.com/advisories/GHSA-j59j-h3g7-cpmf,Merged
CVE-2009-0669,ZODB3,Python,https://github.com/advisories/GHSA-5432-c996-hvhj,Merged
CVE-2009-2265,Products.FCKeditor,Python,https://github.com/advisories/GHSA-4849-cfqq-r8pq,submitted
CVE-2009-2737,roundup,Python,https://github.com/advisories/GHSA-9rj9-5wcv-xgf2,Merged
CVE-2009-2959,Buildbot,Python,https://github.com/advisories/GHSA-jqqh-999x-w26w,Merged
